Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
211		0.2387		0.4100		0.0000		0.6189		0.00017088
212		0.2369		0.4010		0.0000		0.6129		0.00016919
213		0.2368		0.3922		0.0000		0.6218		0.00016750
214		0.2349		0.3854		0.0000		0.6180		0.00016580
215		0.2358		0.4122		0.0000		0.6137		0.00016411
216		0.2334		0.4245		0.0000		0.5901		0.00016241
217		0.2397		0.3904		0.0000		0.6095		0.00016071
218		0.2351		0.4093		0.0000		0.6082		0.00015901
219		0.2369		0.4098		0.0000		0.6116		0.00015730
220		0.2361		0.3941		0.0000		0.6196		0.00015559
221		0.2446		0.4131		0.0000		0.5820		0.00015389
222		0.2400		0.4005		0.0000		0.6080		0.00015217
223		0.2330		0.3834		0.0000		0.6155		0.00015046
224		0.2316		0.3980		0.0000		0.6163		0.00014875
225		0.2322		0.3956		0.0000		0.6108		0.00014703
226		0.2329		0.3934		0.0000		0.6135		0.00014531
227		0.2319		0.3933		0.0000		0.6070		0.00014359
228		0.2323		0.3888		0.0000		0.6196		0.00014186
229		0.2298		0.4006		0.0000		0.6210		0.00014014
230		0.2310		0.4035		0.0000		0.6151		0.00013841
231		0.2287		0.3952		0.0000		0.6271		0.00013668
232		0.2303		0.3973		0.0000		0.6116		0.00013494
233		0.2303		0.3897		0.0000		0.6242		0.00013321
234		0.2293		0.4034		0.0000		0.6095		0.00013147
235		0.2299		0.4011		0.0000		0.6190		0.00012973
236		0.2367		0.4013		0.0000		0.6168		0.00012798
237		0.2299		0.4042		0.0000		0.6091		0.00012624
238		0.2313		0.3930		0.0000		0.6070		0.00012449
239		0.2283		0.4018		0.0000		0.6165		0.00012273
240		0.2257		0.3938		0.0000		0.6180		0.00012098
241		0.2266		0.4065		0.0000		0.6086		0.00011922
242		0.2249		0.3883		0.0000		0.6249		0.00011746
243		0.2244		0.3966		0.0000		0.6189		0.00011570
244		0.2348		0.3867		0.0000		0.6265		0.00011393
245		0.2234		0.3999		0.0000		0.6241		0.00011216
246		0.2233		0.3880		0.0000		0.6265		0.00011039
247		0.2242		0.3983		0.0000		0.6204		0.00010861
248		0.2233		0.4097		0.0000		0.6127		0.00010684
249		0.2219		0.4020		0.0000		0.6174		0.00010505
250		0.2231		0.4063		0.0000		0.6185		0.00010327
251		0.2230		0.4034		0.0000		0.6107		0.00010148
252		0.2245		0.3990		0.0000		0.6123		0.00009969
253		0.2219		0.3919		0.0000		0.6225		0.00009789
254		0.2209		0.3954		0.0000		0.6145		0.00009609
255		0.2198		0.3961		0.0000		0.6190		0.00009429
256		0.2184		0.3997		0.0000		0.6241		0.00009248
257		0.2189		0.4021		0.0000		0.6198		0.00009067
258		0.2198		0.4227		0.0000		0.6006		0.00008885
259		0.2185		0.4108		0.0000		0.6206		0.00008703
260		0.2194		0.3941		0.0000		0.6282		0.00008521
261		0.2193		0.3998		0.0000		0.6280		0.00008338
262		0.2196		0.4030		0.0000		0.6177		0.00008155
263		0.2170		0.3995		0.0000		0.6212		0.00007971
264		0.2166		0.3935		0.0000		0.6288		0.00007787
265		0.2185		0.4023		0.0000		0.6247		0.00007602
266		0.2173		0.3973		0.0000		0.6278		0.00007417
267		0.2167		0.3961		0.0000		0.6242		0.00007231
268		0.2150		0.4059		0.0000		0.6228		0.00007045
269		0.2162		0.3961		0.0000		0.6216		0.00006858
270		0.2160		0.4045		0.0000		0.6181		0.00006671
271		0.2146		0.4033		0.0000		0.6273		0.00006483
